排名,财富 (人民币),姓名,地区,年龄,关联企业,主营行业,行业大类
133,240 亿,李贤义、董系治夫妇,福建,67、/,信义玻璃,玻璃,制造业
133,240 亿,潘苏通,广东,56,高银,房地产、金融,房地产
133,240 亿,邱光和家族,浙江,68,森马,服装,制造业
133,240 亿,林宏修家族,福建,68,融侨,房地产,房地产
133,240 亿,吴光明、吴群父子,江苏,57、31,鱼跃医疗,医疗设备,制造业
133,240 亿,张力、张量父子,广东,66、37,富力地产,房地产、矿业,房地产
140,235 亿,崔根良、崔巍父子,江苏,61、34,亨通,电缆、热能电力、投资,制造业
140,235 亿,李兆廷、李青夫妇,湖北,54、/,东旭,光电显示、光伏,制造业
140,235 亿,梁庆德,广东,82,格兰仕,家电,制造业
140,235 亿,林斌,广东,51,小米,智能硬件与技术,互联网
140,235 亿,林定强家族,福建,53,金辉,房地产,房地产
140,235 亿,吴志刚家族,辽宁,84,桃李面包,食品,制造业
146,230 亿,安康家族,河南,70,华兰生物,生物制药,制造业
146,230 亿,黄伟、李萍夫妇,浙江,60、/,新湖,房地产、金融,房地产
146,230 亿,林秀成、林志强父子,福建,64、45,三安,LED,制造业
149,225 亿,董伟,江苏,48,恒瑞,医药,制造业
149,225 亿,黄光裕家族,广东,50,国美,家电零售、房地产,销售业
149,225 亿,姜照柏,江苏,56,鹏欣,乳业、房地产、投资,农牧业
149,225 亿,潘政民、吴春媛夫妇,江苏,52、/,瑞声科技,声学科技,互联网
153,220 亿,陈文源、张茜夫妇,江苏,51、48,华兴源创,设备制造,制造业
153,220 亿,江南春,上海,46,分众传媒,数字新媒体、投资,互联网
153,220 亿,潘石屹、张欣夫妇,甘肃,56、54,SOHO中国,房地产,房地产
153,220 亿,其实家族,上海,49,东方财富,信息服务,互联网
153,220 亿,修涞贵、李艳华夫妇,吉林,64、61,修正药业,医药,制造业
153,220 亿,张磊,河南,47,高瓴资本,投资,金融
153,220 亿,周泽荣,广东,65,侨鑫,房地产、投资,房地产
160,215 亿,李仲初家族,湖南,56,石基,软件服务,互联网
160,215 亿,喻会蛟、张小娟夫妇,浙江,53、50,圆通速递,物流,运输业
162,210 亿,李义海、李鑫父子,江西,56、/,济民可信,医药,制造业
162,210 亿,罗立国家族,浙江,63,合盛,化工,制造业
162,210 亿,任正非,贵州,75,华为,电信解决方案,互联网
162,210 亿,史贵禄家族,陕西,54,荣民,房地产,房地产
162,210 亿,魏少军家族,河北,56,隆基泰和,房地产、新能源,房地产
162,210 亿,虞仁荣,浙江,53,韦尔股份,半导体,制造业
162,210 亿,朱林瑶,四川,49,华宝国际,投资、香精香料,金融
169,205 亿,黄其森家族,福建,54,泰禾,房地产、金融、医疗,房地产
169,205 亿,黄世霖,福建,52,宁德时代,锂电池,制造业
169,205 亿,解直锟家族,黑龙江,58,中植,金融、投资,金融
172,200 亿,傅利泉、陈爱玲夫妇,浙江,52、52,大华技术,软件、电子通讯产品,互联网
172,200 亿,黄文仔,广东,66,星河湾,房地产、投资,房地产
172,200 亿,王文彪家族,内蒙古,60,亿利资源,生态修复、光伏、投资,金融
172,200 亿,吴羽岚,江苏,/,恒瑞,医药,制造业
172,200 亿,俞敏洪,江苏,57,新东方,教育,教育
172,200 亿,朱共山家族,江苏,61,保利协鑫,太阳能芯片、发电厂,制造业
178,195 亿,黄朝阳,福建,53,中骏,房地产、变压器,房地产
178,195 亿,黄茂如、张静夫妇,广东,54、/,茂业,房地产,房地产
178,195 亿,苏素玉家族,广东,71,联美,房地产、投资,房地产
